%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.z,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration
317174000000,158,317174000000,,7.0406996664,1.815857912,0,7.3299999237,1.75,0,0.2967018783,-100000,-100000,0,1
317273000000,159,317273000000,,7.0582584295,1.816508712,0,7.3299999237,1.75,0,0.2797620296,-100000,-100000,0,1
317374000000,160,317374000000,,7.0823387409,1.8171920545,0,7.3299999237,1.75,0,0.2566141188,-100000,-100000,0,1
317473000000,161,317473000000,,7.1051850997,1.8173990946,0,7.3299999237,1.75,0,0.2347006202,-100000,-100000,0,1
317573000000,162,317573000000,,7.11991756,1.8171550237,0,7.3299999237,1.75,0,0.2205549032,-100000,-100000,0,1
317673000000,163,317673000000,,7.1326949703,1.8165931907,0,7.3299999237,1.75,0,0.208239764,-100000,-100000,0,1
317773000000,164,317773000000,,7.1425236154,1.8160353773,0,7.3299999237,1.75,0,0.1987661421,-100000,-100000,0,1
317874000000,165,317874000000,,7.1554718354,1.8152669431,0,7.3299999237,1.75,0,0.1863326132,-100000,-100000,0,1
317973000000,166,317973000000,,7.1641768977,1.8147899014,0,7.3299999237,1.75,0,0.1780308783,-100000,-100000,0,1
318073000000,167,318073000000,,7.1762167014,1.8143793271,0,7.3299999237,1.75,0,0.1667153537,-100000,-100000,0,1
